,date,macro_0,macro_1,macro_2,macro_3,macro_4,macro_5,Rec,Neg_Rec,Recessions
0,1963-08-01,-0.031115638,0.22402234,-0.012212605,0.013887021,-0.13768451,-0.27298278,0,0,0
1,1963-09-01,-0.06721676,0.22138499,-0.29126406,0.015511086,-0.38505638,-0.0068984553,0,0,0
2,1963-10-01,0.12551165,0.09172427,-0.19659227,-0.0152962925,-0.31516317,-0.20591617,0,0,0
3,1963-11-01,0.14849895,0.18384202,-0.2157652,-0.18721163,-0.3255888,-0.13081974,0,0,0
4,1963-12-01,0.06392147,0.05933969,-0.07338292,-0.05572143,-0.59576946,-0.06769012,0,0,0
5,1964-01-01,0.049270038,0.096395284,-0.20338865,-0.13917759,-0.15225413,-0.17250805,0,0,0
6,1964-02-01,0.07132901,0.066661835,-0.088263005,-0.18383273,-0.102028556,-0.12642212,0,0,0
7,1964-03-01,0.07850417,0.057745587,-0.20625944,-0.12134309,-0.4951575,0.04136311,0,0,0
8,1964-04-01,0.15112177,0.04823318,0.017998874,-0.14224392,-0.4336613,-0.1902774,0,0,0
9,1964-05-01,0.014254297,0.07358243,-0.30455002,-0.10431783,-0.18411097,-0.42238304,0,0,0
10,1964-06-01,0.03696237,0.045311194,-0.12717642,-0.18732306,-0.26162282,-0.27166173,0,0,0
11,1964-07-01,-0.0695485,0.009658515,-0.065598816,-0.114513926,-0.2665263,-0.18976735,0,0,0
12,1964-08-01,-0.11252465,0.0037335858,-0.012811166,-0.101566486,0.017467242,-0.18590815,0,0,0
13,1964-09-01,-0.22164169,-0.09538396,0.12400031,-0.11402593,0.0061957343,-0.27590367,0,0,0
14,1964-10-01,-0.30371115,-0.00078440766,-0.12662238,-0.03325155,0.09541175,-0.41920173,0,0,0
15,1964-11-01,-0.36358997,0.23090824,-0.014426343,-0.24813285,-0.12985763,-0.0475698,0,0,0
16,1964-12-01,-0.5280886,0.1883574,-0.1666944,-0.10429881,-0.039462067,-0.23133834,0,0,0
17,1965-01-01,0.014207905,0.18290071,-0.025649639,-0.29864913,-0.2848368,-0.0967617,0,0,0
18,1965-02-01,0.41661292,0.10924116,-0.13609262,-0.24553683,-0.7435127,0.0479286,0,0,0
19,1965-03-01,0.23386869,0.17212948,-0.07933362,-0.06260031,-0.33069846,0.16987935,0,0,0
20,1965-04-01,0.15842207,0.06523696,0.051917322,-0.095106624,-0.3830669,-0.16362384,0,0,0
21,1965-05-01,0.09049197,0.093838885,0.20617437,-0.28984874,-0.5679069,0.049045004,0,0,0
22,1965-06-01,-0.069071926,0.08105581,0.32038796,-0.06614242,-0.13639882,0.019479485,0,0,0
23,1965-07-01,0.034128875,0.009167483,0.11110904,-0.030076815,-0.037347488,-0.113838,0,0,0
24,1965-08-01,0.219804,0.009632547,-0.15469219,0.01852798,0.23828064,-0.00084771623,0,0,0
25,1965-09-01,0.40001205,0.08610603,-0.13184187,0.042763207,0.19299532,0.085810155,0,0,0
26,1965-10-01,0.32752845,0.13837783,-0.095677175,0.009764444,0.07195812,0.05544991,0,0,0
27,1965-11-01,0.196773,0.10183023,0.01778617,-0.03069481,0.07336094,0.20150416,0,0,0
28,1965-12-01,0.066228114,0.115038924,-0.01128455,-0.07523677,0.04194518,0.31429505,0,0,0
29,1966-01-01,-0.11855315,-0.005415948,0.18622097,-0.057466775,-0.030582009,0.18106797,0,0,0
30,1966-02-01,-0.25651503,0.043597236,0.33533072,-0.086587004,0.015402938,0.28994462,0,0,0
31,1966-03-01,-0.286434,0.054492157,0.29793665,-0.025504649,0.18004663,0.41417202,0,0,0
32,1966-04-01,-0.20539506,0.09407769,0.36614084,-0.08264216,0.26350033,0.1302227,0,0,0
33,1966-05-01,-0.45467168,0.18487516,0.4907474,-0.08610116,0.36696827,0.14406641,0,0,0
34,1966-06-01,-0.3074606,0.092821166,0.5997895,-0.03246712,0.323955,-0.12173967,0,0,0
35,1966-07-01,-0.6074789,0.16752653,0.4961608,-0.039878022,0.24126156,0.12669034,0,0,0
36,1966-08-01,-0.14719313,0.17295118,0.59183574,-0.15905951,0.799041,-0.012989423,0,0,0
37,1966-09-01,-0.52323854,0.11391927,0.24521331,-0.01489793,0.290611,-0.44320646,0,0,0
38,1966-10-01,-0.45476717,0.07494365,0.27881756,-0.087670326,0.4349271,-0.05173696,0,0,0
39,1966-11-01,-0.2738341,0.11684022,0.5922667,-0.1762429,0.42202953,-0.10890843,0,0,0
40,1966-12-01,-0.22763874,0.062086258,0.34624258,-0.08423811,0.21756741,-0.3775009,0,0,0
41,1967-01-01,-0.27886236,0.28206542,-0.117388904,0.014553731,0.17357095,-0.016805442,0,0,0
42,1967-02-01,-0.05526254,0.38973314,-0.4381316,0.002396273,0.3870107,0.020541092,0,0,0
43,1967-03-01,0.0138742905,0.28058052,-0.15268049,0.02484835,0.0970917,0.019018978,0,0,0
44,1967-04-01,0.041720536,0.28316042,-0.25899825,0.120207444,0.33884895,-0.013277544,0,0,0
45,1967-05-01,0.07088201,0.38860217,-0.22793621,0.026181104,0.5733316,0.13810386,0,0,0
46,1967-06-01,-0.14256434,0.17970493,-0.34117255,-0.030540667,0.47910053,0.2535165,0,0,0
47,1967-07-01,-0.20265982,0.11327938,-0.5142778,-0.033054583,0.36215147,0.09506716,0,0,0
48,1967-08-01,-0.28000697,0.12936525,-0.31997782,-0.11978436,0.25328863,-0.012447929,0,0,0
49,1967-09-01,-0.25390247,-0.0024864525,-0.13568424,-0.11497432,0.03872649,-0.19545075,0,0,0
50,1967-10-01,-0.3166828,-0.015816096,-0.10530138,-0.19043446,0.30029464,0.028136535,0,0,0
51,1967-11-01,-0.30010542,-0.28045204,0.037065115,-0.10931685,-0.07401194,0.14167431,0,0,0
52,1967-12-01,-0.20521681,-0.04398812,-0.09573341,-0.33407807,0.12775536,0.21393783,0,0,0
53,1968-01-01,0.113726385,0.10726209,-0.0022602077,-0.3608267,-0.28562415,0.10166627,0,0,0
54,1968-02-01,0.40674514,0.11062782,0.037410416,-0.09468552,-0.34489682,0.17572102,0,0,0
55,1968-03-01,0.23056866,0.05314476,0.064464375,-0.0752586,-0.22934178,-0.08221463,0,0,0
56,1968-04-01,0.17394409,0.034177393,-0.21439973,-0.33891422,-0.17192602,0.02398677,0,0,0
57,1968-05-01,0.32314575,0.23507968,-0.11183064,-0.851958,-0.28601032,0.013231678,0,0,0
58,1968-06-01,0.4317627,0.12435007,-0.097765855,-0.23194781,-0.33174586,0.049464874,0,0,0
59,1968-07-01,0.053159658,0.084621415,-0.12951964,-0.090358965,-0.24821356,-0.036895778,0,0,0
60,1968-08-01,0.22288603,0.18124878,-0.06686406,-0.27911547,-0.51131517,-0.08566181,0,0,0
61,1968-09-01,0.27280235,0.2013177,-0.00458525,-0.3459836,-0.23174706,-0.07437921,0,0,0
62,1968-10-01,0.28353274,0.17371707,-0.16142446,-0.1145454,-0.2715558,-0.061436523,0,0,0
63,1968-11-01,0.44463673,0.011291313,-0.046509627,-0.14014372,-0.40776592,-0.0046887174,0,0,0
64,1968-12-01,0.41061363,0.023677344,-0.13226037,-0.060736414,-0.43882456,0.033057045,0,0,0
65,1969-01-01,0.6682127,0.051994655,-0.08470958,0.024450777,-0.1801041,0.29377624,0,0,0
66,1969-02-01,-0.0016761186,0.03436544,0.12608792,-0.3637973,-0.30823398,-0.050463054,0,0,0
67,1969-03-01,-0.13820153,-0.059472732,0.1499823,-0.058354333,-0.2470692,-0.45601374,0,0,0
68,1969-04-01,-0.058033396,0.08413866,0.36430252,-0.4296868,-0.13023685,-0.15448907,0,0,0
69,1969-05-01,-0.0595735,0.101277664,-0.049658995,-0.117938034,-0.14528288,-0.0023827157,0,0,0
70,1969-06-01,-0.15278,0.30076912,0.058118735,-0.31131762,-0.06370851,0.039958283,0,0,0
71,1969-07-01,-0.35976982,0.08831718,0.1283719,-0.025579536,0.00902564,-0.24730904,0,0,0
72,1969-08-01,-0.19652592,0.20219357,0.16277891,-0.10979631,0.025322005,0.042090274,0,0,0
73,1969-09-01,-0.13642022,0.17270471,0.31283548,-0.5490011,0.13337848,-0.05655527,0,0,0
74,1969-10-01,-0.23496054,0.04137375,0.23736732,-0.17615028,0.055754337,-0.14226854,1,-2,2
75,1969-11-01,-0.007125556,0.16383125,0.08009653,-0.31356037,-0.012886661,-0.09307734,1,-2,2
76,1969-12-01,-0.16850889,0.1307507,0.03824147,0.0040501966,-0.3122242,-0.35790065,1,-2,2
77,1970-01-01,-0.11715619,0.509405,-0.14094213,-0.04943113,-0.085463576,-0.095113285,1,-2,2
78,1970-02-01,-0.052013095,0.08675781,-0.40500963,0.045658246,-0.11732764,-0.23371224,1,-2,2
79,1970-03-01,-0.09067589,0.2688891,-0.60025495,0.28350577,-0.017668799,-0.12404483,1,-2,2
80,1970-04-01,0.14071114,0.59682953,-0.36447132,-0.18401341,-0.16807307,-0.058159437,1,-2,2
81,1970-05-01,-0.153983,0.3982344,-0.16742553,-0.07309122,-0.35499725,-0.22304258,1,-2,2
82,1970-06-01,-0.32349095,0.35429448,-0.277445,-0.16138156,-0.617384,0.23279613,1,-2,2
83,1970-07-01,-0.05823165,0.13480693,-0.32110897,-0.3100617,-0.17910528,0.13150547,1,-2,2
84,1970-08-01,0.100829445,0.06549904,-0.5937079,-0.54761016,-0.15993793,0.0012835851,1,-2,2
85,1970-09-01,0.13060841,0.045083232,-0.3604257,-0.35398763,-0.21037364,-0.045490924,0,0,0
86,1970-10-01,0.06359081,0.21891734,-0.46463692,-0.54069185,-0.3118491,0.042403165,0,0,0
87,1970-11-01,-0.16637303,-0.04503293,-0.21116596,-0.119660996,-0.25144264,-0.09958955,0,0,0
88,1970-12-01,-0.20228064,-0.069369175,-0.6125622,-0.3394187,-0.12208929,-0.02861517,0,0,0
89,1971-01-01,-0.026567483,-0.10814737,-0.5638601,-0.6576177,-0.0127928555,0.03231858,0,0,0
90,1971-02-01,0.3202067,-0.060053073,-0.0028001121,-0.48271242,-0.63329107,0.41490182,0,0,0
91,1971-03-01,0.3456122,-0.082203306,-0.06298939,-0.2993542,-0.5766853,0.44718564,0,0,0
92,1971-04-01,0.40842745,-0.16735213,-0.16727304,-0.31781918,-0.6746847,0.6135665,0,0,0
93,1971-05-01,0.2642809,-0.32951367,-0.3582389,-0.2310859,-0.26644465,0.30341402,0,0,0
94,1971-06-01,0.2067717,-0.35706413,-0.19679,-0.14692795,-0.43230012,0.39423102,0,0,0
95,1971-07-01,0.05537062,-0.69844,-0.1762415,-0.40960965,-0.44120902,0.28567114,0,0,0
96,1971-08-01,0.014552065,-0.63564944,-0.1866468,-0.30568087,-0.39940333,0.26418525,0,0,0
97,1971-09-01,0.1816673,-0.2553488,-0.11671793,-0.5188789,-0.17285605,0.205676,0,0,0
98,1971-10-01,0.37117106,-0.48041978,-0.08174462,-0.3100222,-0.46793255,0.45356736,0,0,0
99,1971-11-01,-0.116633125,-0.15617986,0.17291848,-0.29301694,-0.34323093,0.07288075,0,0,0
100,1971-12-01,-0.09155395,-0.23516081,-0.16482997,-0.34604123,-0.3448886,0.1347926,0,0,0
101,1972-01-01,-0.012053837,-0.4295061,-0.4814299,-0.6129126,-0.4095493,0.038580973,0,0,0
102,1972-02-01,0.055363942,-0.324862,-0.23022455,-0.44120693,-0.5107164,0.081465796,0,0,0
103,1972-03-01,0.09100386,-0.5235099,-0.26101464,-0.31413016,-0.63229656,0.18943383,0,0,0
104,1972-04-01,-0.041196883,-0.32915908,-0.087997094,-0.31750193,-0.22013304,0.09108412,0,0,0
105,1972-05-01,-0.18130185,-0.2704369,-0.13902749,-0.1696605,-0.18979609,0.02460752,0,0,0
106,1972-06-01,-0.25966883,-0.5986633,0.0952207,-0.41531986,-0.13697816,0.11508492,0,0,0
107,1972-07-01,-0.5577887,-0.34544754,0.13872105,-0.0946987,-0.1498648,0.31088346,0,0,0
108,1972-08-01,-0.41068038,-0.22275262,0.30885047,-0.17622983,0.016610572,0.13225248,0,0,0
109,1972-09-01,-0.3587915,-0.24658863,0.27234882,-0.30386776,-0.16941634,-0.06133209,0,0,0
110,1972-10-01,-0.53458273,-0.38140008,0.17253672,-0.19170779,-0.44991592,0.047352184,0,0,0
111,1972-11-01,-0.3408116,-0.20543244,0.15157093,-0.093738005,-0.43484846,-0.06497423,0,0,0
112,1972-12-01,0.05288444,-0.0021378372,0.085011065,-0.016151024,-0.36199573,-0.061047394,0,0,0
113,1973-01-01,0.14079289,0.2582417,-0.04953796,0.06865646,-0.50181186,0.02912077,0,0,0
114,1973-02-01,-0.15783836,0.096617594,-0.14369354,0.02514074,-0.56683415,0.107583076,0,0,0
115,1973-03-01,-0.27765292,-0.06199029,-0.025775705,0.06484862,-0.50547785,-0.15674286,0,0,0
116,1973-04-01,-0.262283,-0.04794651,0.18591167,0.12363713,-0.1908019,-0.100640714,0,0,0
117,1973-05-01,-0.3671433,0.048942756,0.024323938,0.11526366,-0.16964804,-0.18369874,0,0,0
118,1973-06-01,-0.3116387,-0.003610308,0.22432683,0.08287343,0.065290436,-0.26881766,0,0,0
119,1973-07-01,-0.19490235,0.017402904,0.35832956,-0.069406204,0.1922004,-0.24320629,0,0,0
120,1973-08-01,-0.223138,0.086923055,0.4489087,-0.07071224,0.49430025,-0.11379251,0,0,0
121,1973-09-01,-0.24098279,-0.0016308435,0.09083137,0.115731664,0.15647914,-0.26341885,1,-2,2
122,1973-10-01,-0.20016444,0.1332435,0.17433532,0.17139034,0.16494757,-0.1004444,1,-2,2
123,1973-11-01,-0.25679463,0.20840476,0.14754891,-0.09180344,0.102142796,-0.37822464,1,-2,2
124,1973-12-01,-0.40774047,-0.013137637,0.10651485,-0.01716564,-0.17919627,-0.514818,1,-2,2
125,1974-01-01,-0.4475986,0.02696898,-0.033965748,-0.10832765,-0.27331626,-0.07389934,1,-2,2
126,1974-02-01,-0.098087735,0.07056173,0.0358003,-0.26101053,0.105742626,-0.070618056,1,-2,2
127,1974-03-01,-0.30048525,0.10761318,0.030154279,-0.02667982,0.13983779,-0.19920665,1,-2,2
128,1974-04-01,-0.20817508,0.07083315,0.19986878,-0.018128378,0.2661306,-0.37519395,1,-2,2
129,1974-05-01,-0.23305531,0.0750927,0.24356878,-0.06958047,-0.0038165918,-0.44247034,1,-2,2
130,1974-06-01,-0.29465216,0.04823307,0.038065333,0.012767733,0.09792609,-0.45782077,1,-2,2
131,1974-07-01,-0.33958,0.06494652,0.01962537,-0.028200783,0.24727666,-0.27959523,1,-2,2
132,1974-08-01,-0.301031,0.010684791,0.2137209,-0.30066356,-0.23878,-0.5277951,1,-2,2
133,1974-09-01,-0.1981733,0.06333392,0.24707419,-0.16913545,-0.10539328,-0.4487263,1,-2,2
134,1974-10-01,-0.20706648,0.0024923894,-0.056175936,-0.08882058,-0.041306358,-0.5256805,1,-2,2
135,1974-11-01,-0.20877762,0.054325655,-0.06264969,-0.48246196,0.06435697,-0.10018128,1,-2,2
136,1974-12-01,-0.17535426,0.02396877,0.24475595,-0.21335223,0.017089035,-0.69928837,1,-2,2
137,1975-01-01,-0.312102,-0.053002357,-0.17591418,-0.29798123,-0.0026974755,-0.14368422,0,0,0
138,1975-02-01,-0.13494813,0.060784712,-0.7778454,-0.87204206,0.08433494,-0.0053778226,0,0,0
139,1975-03-01,-0.40700677,-0.13708861,-0.54717004,-0.049903344,0.1476984,-0.0018367663,0,0,0
140,1975-04-01,-0.14874387,-0.10745356,-0.015671674,-0.66672564,0.17884822,-0.021002106,0,0,0
141,1975-05-01,-0.34239012,-0.14272878,-0.5899151,-0.22147344,0.26900065,-0.41638067,0,0,0
142,1975-06-01,-0.41945451,-0.349958,-0.24981779,-0.53966224,0.06624466,0.038960688,0,0,0
143,1975-07-01,-0.68545663,-0.20714231,-0.7696239,-0.25941545,0.44523305,-0.057925783,0,0,0
144,1975-08-01,-0.653755,-0.20819227,0.04577819,-0.35487962,0.1668511,-0.021264384,0,0,0
145,1975-09-01,-0.6709978,-0.34146896,-0.146516,-0.13402161,-0.31489417,0.40241718,0,0,0
146,1975-10-01,-0.73854685,-0.08366609,-0.14377724,-0.20716223,-0.39716077,0.055116337,0,0,0
147,1975-11-01,-0.48051026,-0.23742928,-0.44830507,-0.4747736,-0.079809405,0.026345672,0,0,0
148,1975-12-01,-0.691484,-0.1907195,-0.44856703,-0.36503446,-0.29760322,0.09122568,0,0,0
149,1976-01-01,-0.30465764,-0.6175127,-0.21461229,-0.7008425,-0.063913666,0.032557424,0,0,0
150,1976-02-01,-0.13643701,-0.2698442,-0.56690836,-0.7566726,-0.5171801,0.036546577,0,0,0
151,1976-03-01,0.118794024,-0.4159668,-0.110158965,-0.27619606,-0.54415566,0.39242074,0,0,0
152,1976-04-01,0.38195917,-0.49263403,-0.11258038,-0.0008102947,-0.53180796,0.17915186,0,0,0
153,1976-05-01,0.5100977,-0.35300425,-0.06232489,0.25241327,-0.40946466,-0.26697502,0,0,0
154,1976-06-01,0.387269,-0.22661062,-0.017729023,0.4689209,-0.23461793,-0.33476838,0,0,0
155,1976-07-01,0.08806412,-0.8911244,-0.0006254393,0.36308193,-0.013002153,-0.49757293,0,0,0
156,1976-08-01,-0.08838324,-0.8953342,-0.005925135,0.13411248,-0.020276872,-0.80009055,0,0,0
157,1976-09-01,0.20616925,-0.56857145,-0.042172085,0.28604615,-0.2602997,-0.46934155,0,0,0
158,1976-10-01,0.17530556,-0.54612815,0.020945068,0.06411658,-0.3240853,-0.3679202,0,0,0
159,1976-11-01,0.6554214,-0.15232658,-0.070505135,0.18504608,-0.17398897,-0.42214423,0,0,0
160,1976-12-01,0.1443404,0.06508389,-0.16329992,0.57606906,-0.5817052,-0.04955546,0,0,0
161,1977-01-01,0.3516893,0.18226905,-0.05695594,-0.0040874584,-0.47879165,-0.12374805,0,0,0
162,1977-02-01,0.021594306,-0.107084885,0.04274552,-0.019285616,-0.6892429,-0.33404827,0,0,0
163,1977-03-01,-0.1300197,-0.13629308,0.11970507,0.34645253,-0.19619209,-0.27970353,0,0,0
164,1977-04-01,-0.18583359,-0.33747342,0.086504,-0.08932036,-0.17770316,-0.04763075,0,0,0
165,1977-05-01,-0.48031214,-0.2452742,0.11394066,-0.3150867,-0.376863,0.042909723,0,0,0
166,1977-06-01,-0.4289122,-0.15994866,0.38358966,-0.1821289,-0.23411587,-0.11618211,0,0,0
167,1977-07-01,-0.3496162,-0.13967693,0.49387348,-0.39373198,0.09982832,0.015134586,0,0,0
168,1977-08-01,-0.62646544,-0.14939399,0.3444059,-0.058427177,-0.044864535,0.29096818,0,0,0
169,1977-09-01,-0.49039602,-0.024384722,0.38969022,-0.2852136,-0.25074124,0.05595629,0,0,0
170,1977-10-01,-0.678087,-0.0720433,0.34645253,-0.05360585,0.092930645,0.30633405,0,0,0
171,1977-11-01,-0.668462,0.01145199,0.009258938,-0.016108386,-0.20198809,0.2825436,0,0,0
172,1977-12-01,-0.21259174,0.089099534,0.1289232,-0.1148664,-0.041086666,0.037603658,0,0,0
173,1978-01-01,-0.5167675,-0.050513696,0.064462036,-0.045377363,-0.29339054,0.02159774,0,0,0
174,1978-02-01,-0.49701422,-0.24186207,0.26659894,-0.039382253,-0.30800948,-0.20280488,0,0,0
175,1978-03-01,-0.35463062,-0.06587018,-0.52536035,0.20782942,-0.1885785,0.013143377,0,0,0
176,1978-04-01,-0.33105603,-0.060748816,-0.195498,-0.13795288,-0.2275708,0.021440791,0,0,0
177,1978-05-01,-0.50535446,-0.037052073,-0.26640823,-0.26451904,-0.41255194,0.061328527,0,0,0
178,1978-06-01,-0.526573,-0.041544996,-0.045080215,-0.23990878,-0.6458858,-0.009943083,0,0,0
179,1978-07-01,-0.31514412,-0.07459522,-0.13803665,-0.05469577,-0.152786,-0.14765039,0,0,0
180,1978-08-01,-0.18966925,-0.13353732,-0.14975937,-0.3361048,0.061121706,-0.046558775,0,0,0
181,1978-09-01,-0.3756698,-0.11144109,0.15483315,-0.25575146,0.13383698,-0.18654785,0,0,0
182,1978-10-01,-0.35360992,-0.32844326,0.2548981,-0.2494848,0.18617538,-0.23964436,0,0,0
183,1978-11-01,-0.5483409,-0.16060907,0.012051517,0.017151875,0.0151438955,-0.5662533,0,0,0
184,1978-12-01,-0.15745361,-0.24899554,0.18794228,0.010966471,0.13060501,-0.16908121,0,0,0
185,1979-01-01,-0.42677057,-0.023981992,-0.061839405,0.15377536,0.02183673,-0.28645742,0,0,0
186,1979-02-01,-0.16258596,0.076384634,-0.028020397,0.0462704,0.05899048,-0.09610832,0,0,0
187,1979-03-01,-0.2255758,0.007544412,0.044453334,-0.05482198,0.099320225,-0.32783255,0,0,0
188,1979-04-01,-0.26444474,0.04060458,-0.20129117,0.02026646,0.20294231,-0.12541023,0,0,0
189,1979-05-01,-0.42029092,0.075398035,-0.0076452782,0.17309655,-0.026960848,-0.13891928,0,0,0
190,1979-06-01,-0.2487704,0.044642057,-0.20660272,0.21742731,0.0492214,-0.28741786,0,0,0
191,1979-07-01,-0.20424856,0.23967119,-0.1239263,-0.058406603,0.050681338,-0.06208091,0,0,0
192,1979-08-01,-0.39190218,-0.024769751,-0.3522598,-0.095876515,-0.1582058,-0.37347946,0,0,0
193,1979-09-01,-0.51407945,-0.0018296918,-0.58366007,-0.058848616,0.38180727,-0.00820618,0,0,0
194,1979-10-01,-0.52138335,-0.11813,-0.28143707,-0.071406424,0.15266308,-0.15382,0,0,0
195,1979-11-01,-0.08991497,-0.10961724,-0.054949377,-0.279064,0.03536053,-0.44283783,1,-2,2
196,1979-12-01,-0.121134885,-0.02169623,-0.21890667,-0.1949823,0.019928006,-0.23233229,1,-2,2
197,1980-01-01,-0.124016985,-0.20139915,-0.13892636,-0.46568108,-0.043852188,-0.15752633,1,-2,2
198,1980-02-01,-0.13109554,0.06716995,-0.0977183,-0.5347871,-0.057160858,-0.021756202,1,-2,2
199,1980-03-01,-0.2602811,-0.009153175,0.0944167,-0.10886386,-0.18447714,-0.20643838,1,-2,2
200,1980-04-01,-0.32930458,-0.09340698,-0.027029667,-0.027375504,-0.12372279,-0.6541983,1,-2,2
